VendorNumber,VendorName,Brand,Description,Classification,RetailPrice,UnitPurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,VendorFreightCost,AllocatedFreightCost,GrossProfit,ProfitMargin%,NetProfit,NetProfitMargin%,StockTurnover,SalesPurchaseRatio,PriceMarkup%,AvgUnitsSoldPerDay,VolumeCategory,PerformanceTier,IsUnderperforming,Cluster,ClusterLabel,PredictedUnderperforming,UnderperformingRiskScore
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,1,22.99,16.42,750.0,93205,1530426.1000000215,91247.0,2148965.5299997157,23.522423392311875,71840.57000000637,123780.21999999997,7852.58,618539.4299996942,28.783124780962684,610686.8499996943,28.417712684287448,0.9789925433184915,1.4041615795755742,40.01218026796587,249.31,Standard(201-750ml),High,0,1,High Volume Giants,0,0.0003
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,1,29.99,22.38,1750.0,66942,1498161.9600000305,61433.0,1840615.669999787,30.167316076288344,112875.18999998401,257032.07000000007,7556.46,342453.7099997564,18.605389249989166,334897.2499997564,18.194849444033864,0.917704878850348,1.2285825692702472,34.0035746201966,167.85,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
480,BACARDI USA INC,2663,Dewars White Label,1,29.99,21.42,1750.0,69001,1478001.420000022,70122.0,2189368.779999833,32.592352631918025,128839.07999998711,89286.26999999999,7487.65,711367.359999811,32.491892937281456,703879.709999811,32.14989253659974,1.0162461413602701,1.4813035700600345,40.009337068160576,191.59,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,2,10.99,6.77,750.0,215668,1460072.3599999887,214238.0,2326007.779999907,11.16397550635757,24083.770000001787,17587.59,7322.95,865935.4199999184,37.22839740458448,858612.4699999185,36.91356827705678,0.9933694382105829,1.5930770581808187,62.33382570162483,585.35,Standard(201-750ml),Mid,0,1,High Volume Giants,0,0.0011
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,1,48.99,33.81,750.0,42951,1452173.3099999838,41639.0,2009508.6099997887,48.35864778036678,32783.0900000035,68054.70000000003,7480.9,557335.2999998049,27.73490480341179,549854.3999998049,27.362629712736723,0.9694535633629019,1.3837939288388459,44.897959183673464,113.77,Standard(201-750ml),Mid,0,1,High Volume Giants,0,0.0023
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,1,59.99,44.77,1750.0,31596,1414552.9200000092,28372.0,1739044.279999906,62.19093171508498,52133.71999999593,257032.07000000007,7134.75,324491.3599998967,18.659177556992066,317356.6099998967,18.248909107703334,0.897961767312318,1.229394994992407,33.9959794505249,77.52,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0088
17035,PERNOD RICARD USA,5364,Kahlua,1,29.99,23.07,1750.0,60645,1399080.1500000013,59771.0,1844950.2899997348,30.9767435865899,109817.0699999855,123780.21999999997,7178.65,445870.13999973354,24.167054387129188,438691.4899997335,23.777957182781144,0.9855882595432435,1.3186880608660863,29.99566536627654,163.31,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0019
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,1,33.99,21.73,1750.0,64249,1396130.770000004,65184.0,2068091.159999784,32.88910209510504,119767.48999998723,257032.07000000007,7041.83,671960.3899997801,32.49181675337031,664918.5599997801,32.15131773977746,1.0145527556849134,1.4813018983886288,56.41969627243443,178.1,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0005
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,1,39.99,28.88,1750.0,47546,1373128.4800000344,47966.0,1884307.3399997673,39.489966902753494,88129.79999998568,257032.07000000007,6925.81,511178.8599997328,27.128210411779,504253.0499997328,26.760658375389816,1.0088335506667228,1.3722731466466416,38.46952908587259,131.05,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,1,21.99,16.66,1750.0,79078,1317439.4799999988,79042.0,1635666.5799999442,20.78373390558132,145234.9500000005,257032.07000000007,6644.93,318227.0999999454,19.455499298638003,311582.1699999454,19.049247188259848,0.9995447532815701,1.241549691527345,31.992797118847527,215.96,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0071
480,BACARDI USA INC,3348,Bombay Sapphire Gin,1,29.99,22.38,1750.0,57349,1283470.6200000057,56888.0,1766391.119999798,32.1627368053064,104524.53999998761,89286.26999999999,6502.15,482920.4999997923,27.339386760495465,476418.3499997923,26.97128312102513,0.9919614988927444,1.3762614371334734,34.0035746201966,155.43,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
480,BACARDI USA INC,3857,Grey Goose Vodka,1,49.99,38.27,1750.0,33388,1277758.760000023,32945.0,1699669.5499998508,52.503144995982744,60533.429999990025,89286.26999999999,6473.21,421910.78999982774,24.82310693863197,415437.5799998277,24.442255849077497,0.9867317599137415,1.3301959675078416,30.62451006009929,90.01,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,1,24.99,19.52,1750.0,61936,1208990.7200000167,61323.0,1528730.2699997823,25.076923175246872,112669.44999998584,18544.489999999998,6114.89,319739.5499997656,20.9153672347844,313624.6599997656,20.515369267844104,0.9901026866442779,1.2644681590275244,28.022540983606554,167.55,Magnum(1001-1750ml),Mid,0,1,High Volume Giants,0,0.0003
480,BACARDI USA INC,126,Grey Goose Vodka,1,32.99,20.14,1000.0,59878,1205942.9200000067,58013.0,1736610.8699998797,31.113055761290877,60913.65000000229,89286.26999999999,6109.39,530667.9499998731,30.557677552709883,524558.559999873,30.20587795813517,0.9688533351147333,1.4400440030775836,63.80337636544191,158.51,Large(751-1000ml),High,0,1,High Volume Giants,0,0.0167
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,1,16.99,11.76,1750.0,101480,1193404.80000003,98938.0,1624366.6199997105,16.469952703424514,181782.13000000623,123880.96999999999,6108.3,430961.8199996804,26.531068460379785,424853.5199996804,26.15502650502361,0.9749507292077256,1.3611195631186246,44.47278911564625,270.32,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,1,16.99,12.21,1750.0,97473,1190145.3300000117,94960.0,1554498.39999971,16.47056745181572,174471.93000000203,123880.96999999999,6091.62,364353.0699996983,23.43862624752565,358261.4499996983,23.046755789505163,0.9742185015337581,1.3061416625477955,39.14823914823913,259.45,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,1,25.99,19.69,1750.0,59088,1163442.7199999734,58610.0,1549701.8999997717,26.60446451691864,107685.02999998446,38994.78000000001,5978.92,386259.1799997983,24.92474068721573,380280.2599997983,24.538929712859893,0.9919103709721094,1.331996731218368,31.99593702386997,160.14,Magnum(1001-1750ml),Mid,0,1,High Volume Giants,0,0.0003
